,team,season,league
0,Aston Villa,2015,EPL
1,Everton,2015,EPL
2,Bournemouth,2015,EPL
3,Southampton,2015,EPL
4,Leicester,2015,EPL
5,West Bromwich Albion,2015,EPL
6,Sunderland,2015,EPL
7,Crystal Palace,2015,EPL
8,Norwich,2015,EPL
9,Chelsea,2015,EPL
10,West Ham,2015,EPL
11,Tottenham,2015,EPL
12,Arsenal,2015,EPL
13,Swansea,2015,EPL
14,Stoke,2015,EPL
15,Newcastle United,2015,EPL
16,Liverpool,2015,EPL
17,Manchester City,2015,EPL
18,Manchester United,2015,EPL
19,Watford,2015,EPL
20,Everton,2016,EPL
21,Bournemouth,2016,EPL
22,Southampton,2016,EPL
23,Leicester,2016,EPL
24,West Bromwich Albion,2016,EPL
25,Sunderland,2016,EPL
26,Crystal Palace,2016,EPL
27,Chelsea,2016,EPL
28,West Ham,2016,EPL
29,Tottenham,2016,EPL
30,Arsenal,2016,EPL
31,Swansea,2016,EPL
32,Stoke,2016,EPL
33,Liverpool,2016,EPL
34,Manchester City,2016,EPL
35,Manchester United,2016,EPL
36,Watford,2016,EPL
37,Hull,2016,EPL
38,Burnley,2016,EPL
39,Middlesbrough,2016,EPL
40,Everton,2017,EPL
41,Bournemouth,2017,EPL
42,Southampton,2017,EPL
43,Leicester,2017,EPL
44,West Bromwich Albion,2017,EPL
45,Crystal Palace,2017,EPL
46,Chelsea,2017,EPL
47,West Ham,2017,EPL
48,Tottenham,2017,EPL
49,Arsenal,2017,EPL
50,Swansea,2017,EPL
51,Stoke,2017,EPL
52,Newcastle United,2017,EPL
53,Liverpool,2017,EPL
54,Manchester City,2017,EPL
55,Manchester United,2017,EPL
56,Watford,2017,EPL
57,Burnley,2017,EPL
58,Huddersfield,2017,EPL
59,Brighton,2017,EPL
60,Everton,2018,EPL
61,Bournemouth,2018,EPL
62,Southampton,2018,EPL
63,Leicester,2018,EPL
64,Crystal Palace,2018,EPL
65,Chelsea,2018,EPL
66,West Ham,2018,EPL
67,Tottenham,2018,EPL
68,Arsenal,2018,EPL
69,Newcastle United,2018,EPL
70,Liverpool,2018,EPL
71,Manchester City,2018,EPL
72,Manchester United,2018,EPL
73,Watford,2018,EPL
74,Burnley,2018,EPL
75,Huddersfield,2018,EPL
76,Brighton,2018,EPL
77,Cardiff,2018,EPL
78,Fulham,2018,EPL
79,Wolverhampton Wanderers,2018,EPL
80,Aston Villa,2019,EPL
81,Everton,2019,EPL
82,Bournemouth,2019,EPL
83,Southampton,2019,EPL
84,Leicester,2019,EPL
85,Crystal Palace,2019,EPL
86,Norwich,2019,EPL
87,Chelsea,2019,EPL
88,West Ham,2019,EPL
89,Tottenham,2019,EPL
90,Arsenal,2019,EPL
91,Newcastle United,2019,EPL
92,Liverpool,2019,EPL
93,Manchester City,2019,EPL
94,Manchester United,2019,EPL
95,Watford,2019,EPL
96,Burnley,2019,EPL
97,Brighton,2019,EPL
98,Wolverhampton Wanderers,2019,EPL
99,Sheffield United,2019,EPL
100,Aston Villa,2020,EPL
101,Everton,2020,EPL
102,Southampton,2020,EPL
103,Leicester,2020,EPL
104,West Bromwich Albion,2020,EPL
105,Crystal Palace,2020,EPL
106,Chelsea,2020,EPL
107,West Ham,2020,EPL
108,Tottenham,2020,EPL
109,Arsenal,2020,EPL
110,Newcastle United,2020,EPL
111,Liverpool,2020,EPL
112,Manchester City,2020,EPL
113,Manchester United,2020,EPL
114,Burnley,2020,EPL
115,Brighton,2020,EPL
116,Fulham,2020,EPL
117,Wolverhampton Wanderers,2020,EPL
118,Sheffield United,2020,EPL
119,Leeds,2020,EPL
120,Aston Villa,2021,EPL
121,Everton,2021,EPL
122,Southampton,2021,EPL
123,Leicester,2021,EPL
124,Crystal Palace,2021,EPL
125,Norwich,2021,EPL
126,Chelsea,2021,EPL
127,West Ham,2021,EPL
128,Tottenham,2021,EPL
129,Arsenal,2021,EPL
130,Newcastle United,2021,EPL
131,Liverpool,2021,EPL
132,Manchester City,2021,EPL
133,Manchester United,2021,EPL
134,Watford,2021,EPL
135,Burnley,2021,EPL
136,Brighton,2021,EPL
137,Wolverhampton Wanderers,2021,EPL
138,Brentford,2021,EPL
139,Leeds,2021,EPL
140,Aston Villa,2022,EPL
141,Everton,2022,EPL
142,Bournemouth,2022,EPL
143,Southampton,2022,EPL
144,Leicester,2022,EPL
145,Crystal Palace,2022,EPL
146,Chelsea,2022,EPL
147,West Ham,2022,EPL
148,Tottenham,2022,EPL
149,Arsenal,2022,EPL
150,Newcastle United,2022,EPL
151,Liverpool,2022,EPL
152,Manchester City,2022,EPL
153,Manchester United,2022,EPL
154,Brighton,2022,EPL
155,Fulham,2022,EPL
156,Wolverhampton Wanderers,2022,EPL
157,Brentford,2022,EPL
158,Leeds,2022,EPL
159,Nottingham Forest,2022,EPL
160,Aston Villa,2023,EPL
161,Everton,2023,EPL
162,Bournemouth,2023,EPL
163,Crystal Palace,2023,EPL
164,Chelsea,2023,EPL
165,West Ham,2023,EPL
166,Tottenham,2023,EPL
167,Arsenal,2023,EPL
168,Newcastle United,2023,EPL
169,Liverpool,2023,EPL
170,Manchester City,2023,EPL
171,Manchester United,2023,EPL
172,Burnley,2023,EPL
173,Brighton,2023,EPL
174,Fulham,2023,EPL
175,Wolverhampton Wanderers,2023,EPL
176,Sheffield United,2023,EPL
177,Brentford,2023,EPL
178,Nottingham Forest,2023,EPL
179,Luton,2023,EPL
180,Aston Villa,2024,EPL
181,Everton,2024,EPL
182,Bournemouth,2024,EPL
183,Southampton,2024,EPL
184,Leicester,2024,EPL
185,Crystal Palace,2024,EPL
186,Chelsea,2024,EPL
187,West Ham,2024,EPL
188,Tottenham,2024,EPL
189,Arsenal,2024,EPL
190,Newcastle United,2024,EPL
191,Liverpool,2024,EPL
192,Manchester City,2024,EPL
193,Manchester United,2024,EPL
194,Brighton,2024,EPL
195,Fulham,2024,EPL
196,Wolverhampton Wanderers,2024,EPL
197,Brentford,2024,EPL
198,Nottingham Forest,2024,EPL
199,Ipswich,2024,EPL
200,Aston Villa,2025,EPL
201,Everton,2025,EPL
202,Bournemouth,2025,EPL
203,Sunderland,2025,EPL
204,Crystal Palace,2025,EPL
205,Chelsea,2025,EPL
206,West Ham,2025,EPL
207,Tottenham,2025,EPL
208,Arsenal,2025,EPL
209,Newcastle United,2025,EPL
210,Liverpool,2025,EPL
211,Manchester City,2025,EPL
212,Manchester United,2025,EPL
213,Burnley,2025,EPL
214,Brighton,2025,EPL
215,Fulham,2025,EPL
216,Wolverhampton Wanderers,2025,EPL
217,Brentford,2025,EPL
218,Leeds,2025,EPL
219,Nottingham Forest,2025,EPL
220,Malaga,2015,La_Liga
221,Sevilla,2015,La_Liga
222,Deportivo La Coruna,2015,La_Liga
223,Real Sociedad,2015,La_Liga
224,Espanyol,2015,La_Liga
225,Getafe,2015,La_Liga
226,Atletico Madrid,2015,La_Liga
227,Las Palmas,2015,La_Liga
228,Rayo Vallecano,2015,La_Liga
229,Valencia,2015,La_Liga
230,Athletic Club,2015,La_Liga
231,Barcelona,2015,La_Liga
232,Sporting Gijon,2015,La_Liga
233,Real Madrid,2015,La_Liga
234,Levante,2015,La_Liga
235,Celta Vigo,2015,La_Liga
236,Real Betis,2015,La_Liga
237,Villarreal,2015,La_Liga
238,Granada,2015,La_Liga
239,Eibar,2015,La_Liga
240,Malaga,2016,La_Liga
241,Sevilla,2016,La_Liga
242,Deportivo La Coruna,2016,La_Liga
243,Real Sociedad,2016,La_Liga
244,Espanyol,2016,La_Liga
245,Atletico Madrid,2016,La_Liga
246,Las Palmas,2016,La_Liga
247,Valencia,2016,La_Liga
248,Athletic Club,2016,La_Liga
249,Barcelona,2016,La_Liga
250,Sporting Gijon,2016,La_Liga
251,Real Madrid,2016,La_Liga
252,Celta Vigo,2016,La_Liga
253,Real Betis,2016,La_Liga
254,Villarreal,2016,La_Liga
255,Granada,2016,La_Liga
256,Eibar,2016,La_Liga
257,Osasuna,2016,La_Liga
258,Alaves,2016,La_Liga
259,Leganes,2016,La_Liga
